object_id,title,artist,date,place,medium,description,culture,classification,is_highlight,cluster,image_filename,image_url,dominant_palette,visual_concepts,mood,research_themes
334816,Music-Making Angels,Albrecht Dürer,1521,Place Unknown,Pen and brown ink,Pen and brown ink,,Drawings,True,German Renaissance,met_334816.jpg,https://images.metmuseum.org/CRDImages/dp/web-large/DP802950.jpg,"warm sepia, creamy paper tone, faded ash gray","winged angels, lute, cornett, musical instruments, putti, sheet music",harmonious,"Northern Renaissance draftsmanship, iconography of sacred music, late style of Albrecht Dürer, preparatory drawings and workshop practices"
336228,Melencolia I,Albrecht Dürer,1514,Place Unknown,Engraving,Engraving,,Prints,True,German Renaissance,met_336228.jpg,https://images.metmuseum.org/CRDImages/dp/web-large/DP820348.jpg,"deep charcoal, warm ivory, silver grey","winged allegorical figure, polyhedron, hourglass, magic square, sleeping dog, putto, scales, comet, carpentry tools",brooding and contemplative,"temperament of melancholy, renaissance humanism, mathematics and geometry, creative frustration, astrology and cosmology"
336222,Adam and Eve,Albrecht Dürer,1504,Place Unknown,Engraving,Engraving,,Prints,True,German Renaissance,met_336222.jpg,https://images.metmuseum.org/CRDImages/dp/web-large/DP816026.jpg,"velvety charcoal, creamy off-white, cool silver-grey","nude figures, serpent, tree of knowledge, cat and mouse, stag, hare, parrot, tablet with signature",tense,"the fall of man, classical human proportions, four humors, northern renaissance printmaking, ideal beauty"
388376,Embroidery Pattern with Seven Six-pointed Stars and Four Corner Pieces,Albrecht Dürer,before 1521,Place Unknown,Woodcut,Woodcut,,Prints,True,German Renaissance,met_388376.jpg,https://images.metmuseum.org/CRDImages/dp/web-large/DP816472.jpg,"deep charcoal, warm ivory, pale cream","interlace pattern, knotwork, six-pointed star, geometric rosette, foliate cornerpiece, embroidery design",harmonious,"Islamic influence on Renaissance art, mathematical geometry in art, applied and decorative arts, printmaking as design dissemination, Albrecht Dürer's knots"
391070,Man of Sorrows with Arms Outstretched,Albrecht Dürer,ca. 1500,Place Unknown,Engraving,Engraving,,Prints,False,German Renaissance,met_391070.jpg,https://images.metmuseum.org/CRDImages/dp/web-large/DP815374.jpg,"warm cream, charcoal black, pale sepia","Jesus Christ, crown of thorns, stigmata, crucifixion cross, skull, whip, loincloth, dice",melancholic,"Christian iconography, Passion of Christ, memento mori, Northern Renaissance printmaking, devotional art"
363929,Adam and Eve,Albrecht Dürer,1504,Place Unknown,Engraving,Engraving,,Prints,False,German Renaissance,met_363929.jpg,https://images.metmuseum.org/CRDImages/dp/web-large/DP820351.jpg,"deep charcoal, creamy parchment, silver gray","nude figures, serpent, forbidden fruit, animals, forest, tablet, cat and mouse, elk, parrot",tense,"classical proportion, the fall of man, temperaments and humors, Northern Renaissance humanism, printmaking innovation"
387806,"IIllustration from Dürer's ""Vier Bucher von Menslicher Proportion""",Albrecht Dürer,1528,Place Unknown,Woodcut,Woodcut,,Prints,False,German Renaissance,met_387806.jpg,https://images.metmuseum.org/CRDImages/dp/web-large/DP816818.jpg,"aged cream, charcoal black, pale sepia","human figure, anatomical diagram, grid lines, profile view, frontal view, German typography, proportion study",analytical,"humanism, scientific inquiry, renaissance anatomy, mathematical proportion, artistic theory"
383756,The Martyrdom of Saint Catherine,Albrecht Dürer,ca. 1498,Place Unknown,Black ink on carved pearwood,Black ink on carved pearwood,,Blocks,False,German Renaissance,met_383756.jpg,https://images.metmuseum.org/CRDImages/dp/web-large/DP-29359-001.jpg,"coal black, charcoal gray, eggshell white","woodblock, kneeling martyr, executioner, raised sword, spiked wheel, divine intervention, landscape",dramatic,"printmaking technology, Christian martyrology, German Renaissance, devotional art, the relief process"
336657,"Underweysung der Messung (Nuremberg, 1538)",Albrecht Dürer,"1538, 1527, 1532",Place Unknown,Woodcuts,Woodcuts,,Books,False,German Renaissance,met_336657.jpg,https://images.metmuseum.org/CRDImages/dp/web-large/DP-41182-001.jpg,"warm cream, charcoal black, dusty brown","architectural diagrams, geometric columns, molding profiles, gothic tracery, german typography, woodcut illustrations",intellectual,"scientific inquiry, renaissance humanism, applied geometry, architectural theory, history of printing, northern renaissance"
349059,Underweysung der Messung/ mit dem Zirckel und richtscheyt,Albrecht Dürer,1525,Place Unknown,Woodcut,Woodcut,,Books,False,German Renaissance,met_349059.jpg,https://images.metmuseum.org/CRDImages/dp/web-large/DP-42136-001.jpg,"creamy ivory, charcoal black, gilded bronze","geometric diagram, typography, spiral projection, calligraphy, open book, measuring system",intellectual,"scientific inquiry, humanism, mathematical proportion, renaissance perspective, history of printing"
